,technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity
37,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|user account|user account authentication
38,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,4625,an account failed to log on.,windows,Logon/Logoff,Account Lockout,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4625|an account failed to log on.,windows|user account|user account authentication
39,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,4648,a logon was attempted using explicit credentials.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4648|a logon was attempted using explicit credentials.,windows|user account|user account authentication
40,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|user account|user account authentication
41,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0122,User attempted to authenticate from Device,user,attempted to authenticate from,device,4776,the domain controller or local computer attempted to validate the credentials for an account.,windows,Account Logon,Credential Validation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4776|the domain controller or local computer attempted to validate the credentials for an account.,windows|user account|user account authentication
42,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0163,User authenticated from Device,user,authenticated from,device,4776,the domain controller or local computer attempted to validate the credentials for an account.,windows,Account Logon,Credential Validation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4776|the domain controller or local computer attempted to validate the credentials for an account.,windows|user account|user account authentication
43,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|user account|user account authentication
44,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,4625,an account failed to log on.,windows,Logon/Logoff,Account Lockout,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4625|an account failed to log on.,windows|user account|user account authentication
45,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,4648,a logon was attempted using explicit credentials.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4648|a logon was attempted using explicit credentials.,windows|user account|user account authentication
46,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|user account|user account authentication
47,T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0014,User loaded Module,user,loaded,module,7,image loaded.,windows,ImageLoad,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|7|image loaded.,windows|module|module load
48,T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0014,User loaded Module,user,loaded,module,DeviceImageLoadEvents,deviceimageloadevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ImageLoaded""}",windows|microsoft defender for endpoint|DeviceImageLoadEvents|deviceimageloadevents,windows|module|module load
