technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity,evidence_degree,evidence_score,evidence_confidence_reason
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,4964,special groups have been assigned to a new logon.,windows,Logon/Logoff,Special Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4964|special groups have been assigned to a new logon.,windows|logon session|logon session creation,26,0.3393,"Evidence score 0.34: this telemetry is shared with 25 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|logon session|logon session creation,40,0.278,"Evidence score 0.28: this telemetry is shared with 39 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|user account|user account authentication,37,0.2891,"Evidence score 0.29: this telemetry is shared with 36 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,4625,an account failed to log on.,windows,Logon/Logoff,Account Lockout,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4625|an account failed to log on.,windows|user account|user account authentication,20,0.3761,"Evidence score 0.38: this telemetry is shared with 19 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,4648,a logon was attempted using explicit credentials.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4648|a logon was attempted using explicit credentials.,windows|user account|user account authentication,20,0.3761,"Evidence score 0.38: this telemetry is shared with 19 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0001,User attempted to authenticate from Port,user,attempted to authenticate from,port,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|user account|user account authentication,40,0.278,"Evidence score 0.28: this telemetry is shared with 39 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0122,User attempted to authenticate from Device,user,attempted to authenticate from,device,4776,the domain controller or local computer attempted to validate the credentials for an account.,windows,Account Logon,Credential Validation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4776|the domain controller or local computer attempted to validate the credentials for an account.,windows|user account|user account authentication,20,0.3761,"Evidence score 0.38: this telemetry is shared with 19 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0163,User authenticated from Device,user,authenticated from,device,4776,the domain controller or local computer attempted to validate the credentials for an account.,windows,Account Logon,Credential Validation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4776|the domain controller or local computer attempted to validate the credentials for an account.,windows|user account|user account authentication,20,0.3761,"Evidence score 0.38: this telemetry is shared with 19 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|user account|user account authentication,37,0.2891,"Evidence score 0.29: this telemetry is shared with 36 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,4625,an account failed to log on.,windows,Logon/Logoff,Account Lockout,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4625|an account failed to log on.,windows|user account|user account authentication,20,0.3761,"Evidence score 0.38: this telemetry is shared with 19 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,4648,a logon was attempted using explicit credentials.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4648|a logon was attempted using explicit credentials.,windows|user account|user account authentication,20,0.3761,"Evidence score 0.38: this telemetry is shared with 19 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",user account,user account authentication,REL-2022-0170,User attempted to authenticate from Ip,user,attempted to authenticate from,ip,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|user account|user account authentication,40,0.278,"Evidence score 0.28: this telemetry is shared with 39 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0014,User loaded Module,user,loaded,module,7,image loaded.,windows,ImageLoad,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|7|image loaded.,windows|module|module load,47,0.2599,"Evidence score 0.26: this telemetry is shared with 46 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0014,User loaded Module,user,loaded,module,DeviceImageLoadEvents,deviceimageloadevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ImageLoaded""}",windows|microsoft defender for endpoint|DeviceImageLoadEvents|deviceimageloadevents,windows|module|module load,47,0.2599,"Evidence score 0.26: this telemetry is shared with 46 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0178,Process loaded Module,process,loaded,module,7,image loaded.,windows,ImageLoad,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|7|image loaded.,windows|module|module load,47,0.2599,"Evidence score 0.26: this telemetry is shared with 46 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0178,Process loaded Module,process,loaded,module,DeviceImageLoadEvents,deviceimageloadevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ImageLoaded""}",windows|microsoft defender for endpoint|DeviceImageLoadEvents|deviceimageloadevents,windows|module|module load,47,0.2599,"Evidence score 0.26: this telemetry is shared with 46 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|process|process creation,248,0.0144,"Evidence score 0.01: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
